"alias_id","alias","provider_id","mapped_product","product_id"
13097,tame. mtbe,,MTBE,1872
13124,termiinal de repsolgasoil,,Gasoil,1510
13125,termiinal de repsolgasolina 95,,"95 Gasoline",1024
13126,termiinal de repsolgasolina 98,,"98 Gasoline",1030
27717,U.G 97R,,"97 Gasoline",1028
13131,terminal de repsoletbe,,ETBE,1470
13134,terminal de repsolnafta,,Naphtha,1886
13138,terminal repsoletbe,,ETBE,1470
13142,tert-amyl methyl ether (tame),,TAME,2276
13162,t-lcn / alkylate,,Alkylate,1060
28782,AVIGAS,,Aviation Gasoline,1138
27718,UPLP,,Gasoline,1534
98173,ulsd (ultra lo,,Ultra Low Sulfur Diesel,2326
13226,trubo a1,,Jet A-1,1646
13230,turbine fuel,,Jet,1644
13231,turbo,,Jet A-1,1646
13232,turbo 01,,Jet A-1,1646
13233,turbosina,,Jet A-1,1646
13234,turbosina - diesel,,Diesel,1394
13235,turbosina & diesel,,Jet,1644
13236,turbosina y diesel,,Diesel,1394
13237,type i (mdo),,Marine Diesel,1806
13310,"ulsd, mogas",,Clean petroleum products,1328
13243,u-g,,Gasoline,1534
13244,u.g,,Gasoline,1534
13245,ug,,Gasoline,1534
13246,u-g/10ppm g.o,,Ultra Low Sulfur Diesel,2326
13247,ugo,,Gasoil,1510
13248,uk bob,,Gasoline,1534
13249,uk bob gasoline,,Eurobob,1480
13250,UKBOB GASOLINE,,Gasoline,1534
13251,ukbob summer spec,,Eurobob,1480
13252,UKBOB WINTER GASOLINE,,Gasoline,1534
13253,UKBOB WINTER SPEC,,Gasoline,1534
13255,UK RBOB,,RBOB,2092
13258,ulds,,Ultra Low Sulfur Diesel,2326
13259,U/L GASOLINE,,Gasoline,1534
13260,u/l gasoline 150 ppm,,Gasoline,1534
13261,u/l gasoline 50ppm,,Gasoline,1534
13262,u/l gasoline 50 ppm,,Gasoline,1534
13263,u/l gasoline 91 ron,,"91 Gasoline",1018
13264,u/l gasoline 92 ron,,"92 Gasoline",1020
13265,U/L GASOLINE 95 RON -10PPM,,"95 Gasoline",1024
13266,ULMS,,Gasoline,1534
13267,ulnl,,Gasoline,1534
13268,ulp,,Gasoline,1534
13269,u.l.p,,Gasoline,1534
13270,ulp91,,Gasoline,1534
13271,ulp-91,,"91 Gasoline",1018
13272,ulp 91r,,"91 Gasoline",1018
13273,ulpgasoline,,Gasoline,1534
13274,ulp(gasoline),,Gasoline,1534
13275,uls,,Ultra Low Sulfur Diesel,2326
13276,u.l.s.d.,,Ultra Low Sulfur Diesel,2326
13280,ulsd10ppm,,Ultra Low Sulfur Diesel,2326
13281,ulsd 10ppm,,Ultra Low Sulfur Diesel,2326
13282,ulsd 10 ppm,,Ultra Low Sulfur Diesel,2326
13283,ULSD 10PPM,,Ultra Low Sulfur Diesel,2326
13284,ULSD 10 PPM,,Ultra Low Sulfur Diesel,2326
13285,ulsd 10 ppm gasoil,,Ultra Low Sulfur Diesel,2326
