"raw_product","provider_id"
CRUDE OIL ARA L,4830
CRUDE OIL BRYMO,4830
CRUDE OIL REBPR,4830
CRUDE OIL WTM,4830
FOK OIL,4830
ETB,4830
CRUDE OIL TUPI,86
CRUDE OIL SAHARA,4830
FOK OIL,4830
FOK OIL,4830
FOK OIL,4830
FOK OIL,4830
FISH,86
CRUDE OIL RABIL,4830
CRUDE OIL AZELI,4830
FOK OIL,4830
FOK OIL,4830
PETROLEUM PRODUCT,4830
ADBLUE,73
FOK OIL,4830
CLOVE,73
PETROLEUM PRODUCT,4830
CRUDE OIL WTM,4830
FAT ACID,4830
CRUDE OIL SIBEX,4830
OC,4830
CRUDE OIL AZELI,4830
FOK OIL,4830
CRUDE OIL AZELI,4830
CRUDE OIL AMSI,4830
FOK OIL,4830
PETROLEUM PRODUCT,4830
GAS,86
CRUDE OIL AZESU,4830
CRUDE OIL REBPR,4830
CRUDE OIL SIBEX,4830
CRUDE OIL AZELI,4830
High Sulphur,5027
LIMPAR,4830
CRUDE OIL WTM,4830
SOY OIL GRANEL,86
CRUDE OIL WTM,4830
LIQUID CARGO,86
CRUDE OIL ELSHA,4830
C6 FRACTION,4830
LIQUID CARGO,86
CRUDE OIL HALK,4830
CRUDE OIL ZUBF,4830
BK,4830
FCC Medium,5027
CRUDE OIL WTM,4830
Petrosol D15/20,5027
PETROLEUM PRODUCT,4830
GAS 93,86
WTI LIGHT,73
CRUDE OIL REBPR,4830
CRUDE OIL AZELI,4830
crude oil azeli,280
TC9,4830
PETROLEUM PRODUCT,4830
TC10,4830
HORTO XILENE,4830
SIRTI,4830
CRUDE OIL AZELI,4830
crude oil elsha,280
crude oil azeli,280
crude oil wtm,280
CRUDE OIL RECONSTITUTED,86
CRUDE OIL WTM,4830
FOK OIL,4830
Process Oil (TDAE),5027
UPG - UNKNOWN PRODUCT GRADE,73
LIQUID PRODUCTS,86
CRUDE OIL QUIBO,4830
FOK OIL,4830
CRUDE OIL ARA L,4830
crude oil elsha,280
CRUDE OIL AZELI,4830
CRUDE OIL WTM,4830
CRUDE OIL ELSHA,4830
LIQUID PRODUCTS,86
CRUDE OIL AZELI,4830
CRUDE OIL CHAZA,86
CRUDE OIL ELSHA,4830
FOK OIL,4830
crude oil azeli,280
CRUDE OIL ELSHA,4830
PRODUCTS,4830
OIL PRODUCTS,86
CRUDE OIL REB,4830
CRUDE OIL ELSHA,4830
crude oil azeli,280
CRUDE OIL AZELI,4830
CRUDE OIL AZELI,4830
Process Oil (TDAE),5027
LIQUID PRODUCTS,86
METHYL TERTHIAY BUTH,4830
B.NE,4830
ETHYLB.NE,4830
PROPYLB.NE,4830
PETROLEUM PRODUCT,4830
OIL PRODUCTS,86
CRUDE OIL REBPR,4830
RINFUSE LIQUIDE,4830
crude oil wesde,280
CRUDE OIL WTM,4830
FOK OIL,4830
CRUDE OIL QUIBO,4830
PETROLEUM PRODUCT,4830
CRUDE OIL AMSI,4830
NASH,86
CRUDE OIL SIBEX,4830
crude oil amsi,280
FOK OIL,4830
PRODUCTS,4830
OIL PRODUCTS,86
OIL,4830
CRUDE OIL AZELI,4830
crude oil azeli,280
CRUDE OIL AZELI,4830
CRUDE OIL ELSHA,4830
FOK OIL,4830
PETROLEUM PRODUCT,4830
crude oil elsha,280
CRUDE OIL QARO,4830
crude oil azeli,280
TAR,73
ETB,4830
crude oil wesde,280
OC,4830
crude oil azeli,280
CRUDE OIL AZELI,4830
CRUDE OIL EL SHARARA,4830
CRUDE OIL FORTI,4830
crude oil wtm,280
crude oil wtm,280
CRUDE OIL WTM,4830
CRUDE OIL TUPI,86
CRUDE OIL WTM,4830
PRODUCTS,4830
CRUDE OIL NOVY,4830
CRUDE OIL ELSHA,4830
crude oil azeli,280
CRUDE OIL WTM,4830
LIQUID GRANEL,86
CRUDE OIL TUPI,86
bk,280
CRUDE OIL AZELI,4830
CRUDE OIL AZELI,4830
LIQUID CARGO,86
crude oil azeli,280
CRUDE OIL TUPI,86
CRUDE OIL AZELI,4830
BURNING OIL,4830
crude oil elsha,280
crude oil wtm,280
crude oil karis,280
PRODUCTS,4830
etb,280
CRUDE OIL MERO,86
fok oil,280
CRUDE OIL WTM,4830
CRUDE OIL AZELI,4830
CRUDE OIL AZELI,4830
UPG - UNKNOWN PRODUCT GRADE,73
Air 1 AdBlue,5027
ACRONITRILE,4830
ACRONITRILE,4830
OC,4830
BURNING OIL,4830
etb,280
CRUDE OIL AZELI,4830
LIQUID PRODUCTS,86
LIQUID PRODUCTS,86
ETB,4830
CRUDE OIL WTM,4830
BK,4830
LIQUID PRODUCTS,86
LIQUID PRODUCTS,86
CRUDE OIL WTM,4830
UPG - UNKNOWN PRODUCT GRADE,73
F5 - RBOB,5027
F5 - RBOB,5027
F5 - RBOB,5027
CO 1214,5027
CRUDE OIL AZELI,4830
Unleaded Gasoline 100 RON,5027
Unleaded Gasoline 100 RON,5027
Unleaded Gasoline 100 RON,5027
Unleaded Gasoline 100 RON,5027
Unleaded Gasoline 100 RON,5027
Unleaded Gasoline 100 RON,5027
Unleaded Gasoline 100 RON,5027
DIESEL AD10,73
LIQUID GRANEL,86
LIQUID GRANEL,86
